Admin2,Date,Case,Country/Region,Province/State
Toombs,2022-04-11,7067,US,Georgia
Phillips,2021-05-24,524,US,Montana
Boyd,2021-08-18,5809,US,Kentucky
Hardin,2021-03-04,2465,US,Ohio
Mercer,2021-07-14,5219,US,West Virginia
Waushara,2021-07-24,2597,US,Wisconsin
Ottawa,2021-07-24,4617,US,Oklahoma
Calumet,2020-08-24,450,US,Wisconsin
Hand,2022-01-06,459,US,South Dakota
Suffolk,2022-04-15,214356,US,Massachusetts
Sussex,2021-11-29,37457,US,Delaware
Vernon,2020-05-04,2,US,Wisconsin
Bristol,2021-06-16,5181,US,Rhode Island
Stephens,2021-07-12,4945,US,Oklahoma
El Paso,2021-12-12,117803,US,Colorado
Sherburne,2021-05-18,11792,US,Minnesota
Clarke,2021-05-23,983,US,Virginia
Osage,2020-11-26,1902,US,Oklahoma
Utah,2020-09-14,13330,US,Utah
Carroll,2021-12-20,2919,US,Illinois
Dakota,2020-02-29,0,US,Minnesota
Minidoka,2020-03-18,0,US,Idaho
Cayey,2021-01-25,872,US,Puerto Rico
Herkimer,2020-07-29,236,US,New York
Tyler,2020-09-18,15,US,West Virginia
Iberia,2022-03-14,18110,US,Louisiana
Franklin,2021-06-25,5217,US,Tennessee
Livingston,2020-04-28,185,US,Louisiana
Jackson,2021-02-10,1622,US,West Virginia
St. Mary's,2021-08-02,6243,US,Maryland
Pinellas,2021-06-03,81533,US,Florida
Marinette,2022-02-13,11356,US,Wisconsin
Clay,2021-06-02,804,US,Kansas
Audrain,2021-10-30,3742,US,Missouri
Mineral,2020-08-13,11,US,Nevada
Lincoln,2020-12-29,2481,US,Mississippi
LaSalle,2021-12-11,2795,US,Louisiana
Kewaunee,2021-01-23,2453,US,Wisconsin
Elliott,2021-09-06,1167,US,Kentucky
Cape Girardeau,2021-11-24,13262,US,Missouri
Benzie,2021-12-27,2389,US,Michigan
Lipscomb,2020-08-30,27,US,Texas
Baldwin,2020-07-08,612,US,Georgia
Beaufort,2021-05-25,17007,US,South Carolina
Osage,2020-12-21,2691,US,Oklahoma
Essex,2020-03-09,0,US,New York
Dade,2020-08-21,173,US,Georgia
Harvey,2022-02-21,9462,US,Kansas
Lincoln,2022-02-21,15392,US,South Dakota
LaGrange,2020-08-25,582,US,Indiana
Hamilton,2022-02-21,185294,US,Ohio
Camden,2020-05-05,4251,US,New Jersey
Ottawa,2021-12-02,846,US,Kansas
Nevada,2020-02-09,0,US,California
Morton,2021-12-12,8285,US,North Dakota
Mifflin,2020-08-02,107,US,Pennsylvania
Grand,2021-05-22,1479,US,Colorado
McKinley,2020-09-08,4244,US,New Mexico
Unassigned,2022-04-15,37842,US,Tennessee
Woodford,2020-02-10,0,US,Illinois
Custer,2020-04-17,2,US,Colorado
Muhlenberg,2021-12-13,6147,US,Kentucky
Mercer,2021-06-16,309,US,Missouri
Winnebago,2020-08-11,3797,US,Illinois
Fayette,2021-05-17,1852,US,Iowa
Waukesha,2020-03-22,30,US,Wisconsin
Hale,2020-06-24,273,US,Alabama
Bucks,2022-01-02,93942,US,Pennsylvania
Clearfield,2021-04-04,7376,US,Pennsylvania
Marshall,2022-01-01,570,US,South Dakota
Lewis and Clark,2021-07-22,7096,US,Montana
Leelanau,2021-03-03,883,US,Michigan
Emmet,2021-09-28,2880,US,Michigan
Dodge,2020-05-06,21,US,Minnesota
Corozal,2020-07-15,13,US,Puerto Rico
Santa Cruz,2020-07-31,2599,US,Arizona
Suffolk,2021-05-01,90988,US,Massachusetts
Butler,2021-06-03,1659,US,Iowa
Letcher,2021-12-28,4477,US,Kentucky
Allegany,2020-08-14,326,US,Maryland
Berkshire,2020-03-24,114,US,Massachusetts
Skamania,2020-07-20,43,US,Washington
Haines,2020-03-10,0,US,Alaska
Fremont,2020-12-11,3621,US,Colorado
Unassigned,2020-07-03,0,US,Alabama
Coconino,2022-04-08,43529,US,Arizona
Goliad,2020-09-23,182,US,Texas
Cherokee,2020-02-16,0,US,Georgia
Roanoke City,2020-04-12,20,US,Virginia
Galveston,2021-06-12,38895,US,Texas
Coal,2020-06-07,5,US,Oklahoma
Pierce,2021-03-04,38794,US,Washington
Guayanilla,2020-02-18,0,US,Puerto Rico
San Patricio,2020-02-13,0,US,Texas
Putnam,2021-08-15,10993,US,New York
Knox,2021-02-17,175,US,Missouri
Lincoln,2021-08-25,5254,US,Tennessee
Calvert,2021-10-13,5483,US,Maryland
Monroe,2021-08-16,1438,US,Ohio
Custer,2020-12-19,607,US,Nebraska
Baldwin,2020-06-02,301,US,Alabama
Richland,2022-03-19,6157,US,Louisiana
Shasta,2021-01-27,11178,US,California
Franklin,2022-04-02,4373,US,Indiana
Evangeline,2022-02-27,7919,US,Louisiana
Comanche,2021-01-04,1069,US,Texas
Kenosha,2022-04-07,44069,US,Wisconsin
Out of IN,2021-04-21,0,US,Indiana
Morris,2022-04-08,119122,US,New Jersey
Crawford,2020-08-10,155,US,Pennsylvania
Glenn,2021-08-13,3225,US,California
Brown,2021-12-03,7400,US,Texas
Monmouth,2021-04-01,68357,US,New Jersey
Wilkinson,2021-12-22,1532,US,Georgia
Delaware,2020-08-31,217,US,Iowa
Bristol Bay plus Lake and Peninsula,2022-02-15,784,US,Alaska
Clay,2021-08-05,1967,US,Arkansas
Marion,2021-09-17,4579,US,Alabama
Butler,2020-03-10,0,US,Missouri
Orange,2022-03-02,581567,US,California
Lorain,2021-12-22,48101,US,Ohio
Roscommon,2021-12-20,3567,US,Michigan
Baca,2022-01-29,696,US,Colorado
Lincoln,2020-09-24,363,US,Nebraska
Adams,2021-02-04,2641,US,Nebraska
Dare,2021-03-09,1878,US,North Carolina
Grayson,2021-07-13,1518,US,Virginia
Stafford,2020-10-01,60,US,Kansas
Roberts,2020-11-17,23,US,Texas
Woodruff,2020-11-22,186,US,Arkansas
Washington,2020-11-07,848,US,Iowa
Portage,2020-06-19,87,US,Wisconsin
Tangipahoa,2022-03-24,32907,US,Louisiana
Montgomery,2021-09-06,3884,US,North Carolina
Kingfisher,2020-04-03,3,US,Oklahoma
Madison,2021-12-16,6759,US,Ohio
Delaware,2021-03-08,4429,US,Oklahoma
Cowlitz,2020-10-08,720,US,Washington
Stanley,2021-04-03,339,US,South Dakota
Renville,2021-05-25,320,US,North Dakota
Las Marias,2021-10-18,332,US,Puerto Rico
Grant,2021-07-26,555,US,Oklahoma
Decatur,2021-05-11,1604,US,Tennessee
Morgan,2021-08-22,0,US,Utah
Chautauqua,2020-04-24,3,US,Kansas
Wilkinson,2022-01-09,1328,US,Mississippi
Oneida,2021-06-27,3824,US,Wisconsin
Jefferson,2021-03-23,1887,US,Georgia
Unassigned,2020-09-24,3,US,Arizona
Out of VT,2021-10-20,0,US,Vermont
Atlantic,2021-12-15,43315,US,New Jersey
Jerauld,2020-08-04,40,US,South Dakota
Gunnison,2020-12-13,542,US,Colorado
Eagle,2021-11-11,8840,US,Colorado
Buckingham,2020-11-12,814,US,Virginia
Garrard,2021-10-05,2638,US,Kentucky
Garfield,2021-02-20,7478,US,Oklahoma
Edgar,2020-03-20,0,US,Illinois
Guanica,2020-07-02,17,US,Puerto Rico
Unassigned,2020-06-10,282,US,Texas
Rhea,2021-12-05,7187,US,Tennessee
Franklin,2020-11-08,459,US,Indiana
Tom Green,2020-11-04,3142,US,Texas
Out of NV,2021-10-29,0,US,Nevada
Out of MD,2020-02-01,0,US,Maryland
Riley,2020-03-24,0,US,Kansas
Payette,2021-12-04,4260,US,Idaho
Calloway,2020-02-06,0,US,Kentucky
Spokane,2021-01-19,31031,US,Washington
Saline,2020-05-14,395,US,Nebraska
Clark,2020-09-12,283,US,Wisconsin
Hardy,2020-03-01,0,US,West Virginia
Christian,2021-01-25,6462,US,Missouri
Marshall,2021-10-05,6668,US,Tennessee
Dawson,2021-10-12,3539,US,Nebraska
Wise,2021-11-22,11636,US,Texas
Raleigh,2020-09-16,449,US,West Virginia
Jackson,2022-03-28,4270,US,Kentucky
Fayette,2021-10-06,2466,US,Iowa
Oldham,2020-05-15,2,US,Texas
Caledonia,2020-07-01,19,US,Vermont
Calhoun,2020-11-17,913,US,Iowa
Marshall,2021-06-25,375,US,South Dakota
Porter,2020-03-06,0,US,Indiana
Montmorency,2021-07-30,627,US,Michigan
Warren,2020-05-15,15,US,Tennessee
Unassigned,2020-05-13,0,US,Idaho
Gallatin,2020-10-05,1584,US,Montana
Mason,2021-06-13,1746,US,Kentucky
Todd,2020-04-13,2,US,Minnesota
Pine,2022-04-05,6998,US,Minnesota
San Augustine,2021-03-10,415,US,Texas
Rice,2022-02-09,2515,US,Kansas
Morgan,2021-07-22,1115,US,Ohio
Anne Arundel,2020-06-24,4956,US,Maryland
Madison,2021-12-07,1401,US,Montana
Mercer,2020-09-22,404,US,West Virginia
Ravalli,2020-11-30,1550,US,Montana
Bayamon,2021-11-22,13670,US,Puerto Rico
Petersburg,2021-01-04,1551,US,Virginia
Cumberland,2022-04-11,3349,US,Illinois
Unassigned,2020-11-18,0,US,North Dakota
Boone,2020-07-07,30,US,Arkansas
Unassigned,2020-10-08,9,US,Michigan
Columbus,2021-07-04,6459,US,North Carolina
Southeast Fairbanks,2020-02-03,0,US,Alaska
Barren,2020-12-06,2158,US,Kentucky
Vernon,2021-12-13,3804,US,Wisconsin
Sullivan,2020-04-29,811,US,New York
Osceola,2021-11-12,1014,US,Iowa
Hancock,2020-11-18,146,US,Tennessee
Iron,2021-08-06,992,US,Missouri
Taos,2020-06-21,33,US,New Mexico
Chickasaw,2021-04-09,1218,US,Iowa
Bristol Bay,2021-05-16,0,US,Alaska
Thomas,2020-10-01,152,US,Kansas
Jayuya,2020-08-05,13,US,Puerto Rico
Pulaski,2022-01-07,12417,US,Kentucky
Escambia,2021-01-04,23378,US,Florida
Chautauqua,2021-11-23,14349,US,New York
Knox,2021-01-08,156,US,Missouri
Lee,2020-12-10,663,US,Texas
Gallatin,2021-01-30,11347,US,Montana
Bannock,2020-08-21,556,US,Idaho
Out of NJ,2021-06-20,0,US,New Jersey
Wexford,2020-10-09,140,US,Michigan
Starr,2020-10-24,3669,US,Texas
Knox,2021-10-08,7298,US,Ohio
Jo Daviess,2020-11-30,1083,US,Illinois
Lincoln,2021-12-13,5576,US,Mississippi
Mayes,2021-07-04,4303,US,Oklahoma
Marshall,2021-10-05,6268,US,Mississippi
Mason,2022-01-22,689,US,Texas
Irion,2021-06-25,125,US,Texas
Johnson,2020-07-05,20,US,Illinois
Gilpin,2020-07-15,11,US,Colorado
Lake,2021-05-28,30960,US,Florida
Ralls,2020-04-15,1,US,Missouri
Lawrence,2021-02-01,2752,US,South Dakota
Catahoula,2021-02-16,1036,US,Louisiana
Unassigned,2021-11-08,816,US,New Hampshire
Bedford,2022-01-27,13495,US,Tennessee
Guernsey,2021-12-08,7134,US,Ohio
Door,2022-02-04,6794,US,Wisconsin
Prince William,2021-08-12,47383,US,Virginia
Fulton,2021-09-01,4508,US,Illinois
Ripley,2022-03-05,2671,US,Missouri
Cleburne,2020-06-02,74,US,Arkansas
York,2020-08-19,3865,US,South Carolina
Chickasaw,2020-11-12,943,US,Mississippi
Humacao,2020-01-25,0,US,Puerto Rico
Saline,2021-01-24,2292,US,Missouri
Elk,2021-01-27,2094,US,Pennsylvania
Calloway,2021-11-22,5282,US,Kentucky
Darke,2021-08-09,5505,US,Ohio
Cherokee,2021-11-23,4724,US,North Carolina
Eagle,2021-05-14,6291,US,Colorado
Fremont,2021-03-14,4942,US,Wyoming
Brooks,2021-10-29,2409,US,Georgia
Converse,2020-04-04,3,US,Wyoming
Burnet,2021-11-24,8033,US,Texas
Columbia,2020-03-29,6,US,Pennsylvania
St. Croix,2021-10-10,12210,US,Wisconsin
St. Charles,2020-03-16,0,US,Missouri
Grundy,2020-12-04,900,US,Iowa
Cleveland,2020-03-28,3,US,North Carolina
Harrison,2020-10-01,183,US,Kentucky
Adjuntas,2020-10-08,85,US,Puerto Rico
Estill,2021-12-30,2653,US,Kentucky
Monroe,2020-01-27,0,US,Michigan
Franklin,2020-11-28,4363,US,Pennsylvania
Lake,2020-10-08,229,US,South Dakota
Bronx,2020-02-19,0,US,New York
Yuma,2022-03-10,62297,US,Arizona
Nowata,2020-07-10,38,US,Oklahoma
Aurora,2020-12-29,410,US,South Dakota
Schuyler,2020-02-04,0,US,New York
Buffalo,2021-03-06,5139,US,Nebraska
Valdez-Cordova,2021-12-20,0,US,Alaska
Traill,2021-03-03,984,US,North Dakota
Johnson,2020-07-29,51,US,Illinois
Laramie,2020-05-12,170,US,Wyoming
Wapello,2022-03-03,8919,US,Iowa
Madison,2021-08-01,12079,US,Tennessee
Out of AR,2020-08-22,0,US,Arkansas
Valley,2020-03-22,0,US,Nebraska
Montgomery,2020-08-19,189,US,New York
Blackford,2020-08-22,70,US,Indiana
Dimmit,2020-07-10,22,US,Texas
Henry,2021-09-24,3288,US,Ohio
Franklin,2020-09-01,549,US,Florida
Jersey,2020-06-03,24,US,Illinois
Camden,2020-10-30,1642,US,Missouri
Talbot,2020-09-20,539,US,Maryland
Reagan,2020-03-28,0,US,Texas
Brewster,2021-01-26,797,US,Texas
Shackelford,2021-02-07,229,US,Texas
Garfield,2021-02-05,75,US,Montana
Charles Mix,2021-09-09,1540,US,South Dakota
Cameron,2020-09-07,15807,US,Texas
Washington,2022-04-01,38531,US,Tennessee
Tulsa,2020-02-29,0,US,Oklahoma
Crittenden,2021-01-31,5360,US,Arkansas
Aroostook,2020-02-26,0,US,Maine
Lafayette,2021-12-21,2230,US,Florida
Greene,2020-10-30,329,US,Illinois
Doniphan,2020-09-21,105,US,Kansas
Santa Barbara,2022-01-19,72253,US,California
Jim Hogg,2021-06-29,700,US,Texas
Crosby,2021-04-11,919,US,Texas
Chambers,2021-07-22,3813,US,Alabama
Rutland,2022-02-13,10887,US,Vermont
Valley,2020-12-15,622,US,Montana
Thurston,2022-03-01,45644,US,Washington
Bollinger,2020-03-12,0,US,Missouri
Florida,2020-07-19,10,US,Puerto Rico
Mineral,2021-03-21,305,US,Nevada
Sullivan,2021-12-15,747,US,Pennsylvania
Nolan,2020-09-26,230,US,Texas
Orange,2020-01-24,0,US,Virginia
Tishomingo,2021-10-28,3627,US,Mississippi
Rabun,2020-06-02,23,US,Georgia
Crittenden,2020-07-17,18,US,Kentucky
Franklin,2021-05-18,1191,US,Idaho
Sawyer,2020-12-04,954,US,Wisconsin
Wabash,2021-05-31,1350,US,Illinois
Wyandotte,2021-05-24,20567,US,Kansas
Marshall,2021-05-06,6000,US,Indiana
Adair,2020-05-09,3,US,Iowa
Harrison,2022-02-23,10667,US,Indiana
Teton,2020-11-18,1271,US,Wyoming
Chippewa,2021-10-21,3687,US,Michigan
Owyhee,2020-02-11,0,US,Idaho
Major,2020-05-12,6,US,Oklahoma
Berkeley,2021-02-24,9605,US,West Virginia
Lake,2020-11-07,18391,US,Indiana
Clark,2020-02-28,0,US,Ohio
Deer Lodge,2021-10-12,1510,US,Montana
Wyoming,2022-01-09,4126,US,Pennsylvania
Campbell,2022-03-24,22687,US,Kentucky
Unassigned,2021-11-16,7295,US,Iowa
Linn,2021-01-28,18329,US,Iowa
Muscogee,2021-02-26,14356,US,Georgia
Summers,2021-09-29,1300,US,West Virginia
Guadalupe,2020-04-16,0,US,New Mexico
Jefferson,2020-07-23,3214,US,Texas
Bandera,2020-05-02,6,US,Texas
Out of AR,2021-09-22,0,US,Arkansas
Charlotte,2021-11-11,1317,US,Virginia
Isabella,2020-06-28,122,US,Michigan
Glades,2022-01-26,1803,US,Florida
Dixon,2020-04-01,0,US,Nebraska
Wharton,2020-08-06,701,US,Texas
Poquoson,2021-11-09,1355,US,Virginia
Roanoke City,2020-07-08,525,US,Virginia
Carbon,2020-09-14,0,US,Utah
Dawson,2020-07-08,8,US,Montana
Nobles,2021-02-17,3827,US,Minnesota
Pulaski,2020-04-19,35,US,Kentucky
Gurabo,2022-01-07,4708,US,Puerto Rico
Iron,2022-01-27,1387,US,Wisconsin
Berks,2021-07-08,48892,US,Pennsylvania
Edgefield,2022-02-09,6467,US,South Carolina
Rogers,2021-02-23,9839,US,Oklahoma
Izard,2021-07-05,1731,US,Arkansas
Orange,2020-06-04,10471,US,New York
Nodaway,2020-06-29,19,US,Missouri
Essex,2020-09-29,6,US,Vermont
Miller,2020-08-13,152,US,Georgia
Fulton,2020-12-06,1047,US,Indiana
Lee,2020-12-29,2828,US,Iowa
Frio,2020-08-24,742,US,Texas
Liberty,2020-12-27,4036,US,Texas
Appomattox,2020-06-11,33,US,Virginia
Dallas,2020-04-09,36,US,Iowa
Greene,2021-01-06,1584,US,New York
Lewis,2020-11-16,1027,US,Washington
Skamania,2021-01-10,213,US,Washington
Robertson,2020-07-26,2,US,Kentucky
Franklin,2021-02-27,3703,US,Virginia
Warren,2021-04-06,3055,US,Missouri
Pickett,2022-03-13,1765,US,Tennessee
Laclede,2020-08-30,290,US,Missouri
Kitsap,2020-10-19,1422,US,Washington
Polk,2021-04-17,577,US,Nebraska
Maricao,2020-09-25,44,US,Puerto Rico
Dutchess,2021-01-18,16541,US,New York
Carroll,2021-06-02,2690,US,Virginia
Dimmit,2020-12-27,627,US,Texas
Routt,2022-02-01,5944,US,Colorado
Dare,2020-10-22,353,US,North Carolina
Brunswick,2021-05-01,9012,US,North Carolina
Kootenai,2020-02-22,0,US,Idaho
Potter,2020-06-03,4,US,Pennsylvania
Matanuska-Susitna,2020-04-01,3,US,Alaska
Huntingdon,2021-10-22,6895,US,Pennsylvania
Hampden,2022-01-25,123080,US,Massachusetts
Russell,2021-02-13,3936,US,Alabama
Nome,2020-12-22,265,US,Alaska
Lancaster,2021-07-04,31468,US,Nebraska
Reagan,2021-06-17,339,US,Texas
Falls,2020-12-26,1280,US,Texas
Fremont,2021-11-12,9284,US,Wyoming
Clark,2020-07-01,57,US,Arkansas
Boyle,2020-06-25,38,US,Kentucky
Knox,2020-03-19,0,US,Maine
Culberson,2021-06-19,340,US,Texas
Fentress,2021-03-29,2415,US,Tennessee
Sarasota,2020-09-22,7912,US,Florida
Hubbard,2021-10-02,2554,US,Minnesota
Lincoln,2022-02-13,6854,US,Wisconsin
Sac,2021-06-06,1308,US,Iowa
Colleton,2021-07-27,3813,US,South Carolina
Ward,2021-03-03,9187,US,North Dakota
Braxton,2022-03-31,3902,US,West Virginia
Delaware,2020-08-30,1645,US,Ohio
Summit,2020-03-21,7,US,Colorado
Owsley,2020-07-12,3,US,Kentucky
Grant,2021-02-04,27,US,Nebraska
Hopkins,2022-03-30,14904,US,Kentucky
Bolivar,2020-07-28,812,US,Mississippi
El Dorado,2021-05-26,10970,US,California
Poweshiek,2020-07-29,135,US,Iowa
Washington,2020-03-28,14,US,Tennessee
Choctaw,2021-02-17,693,US,Mississippi
McLean,2020-06-07,22,US,Kentucky
Willacy,2021-07-21,3611,US,Texas
Culebra,2022-03-21,157,US,Puerto Rico
Pratt,2021-08-02,839,US,Kansas
Graham,2021-07-20,266,US,Kansas
Pasquotank,2022-03-04,8204,US,North Carolina
Logan,2021-06-07,2886,US,Kentucky
Lake,2020-12-26,38756,US,Indiana
Swain,2020-05-08,6,US,North Carolina
Garfield,2021-08-04,8052,US,Oklahoma
Cleburne,2020-08-24,245,US,Arkansas
Wythe,2020-04-03,2,US,Virginia
Boundary,2020-05-04,0,US,Idaho
Pine,2020-12-29,2440,US,Minnesota
Baylor,2021-07-13,282,US,Texas
Stanly,2020-07-09,546,US,North Carolina
Thurston,2020-06-17,205,US,Washington
Union,2021-02-03,3396,US,Arkansas
McDuffie,2021-08-19,2847,US,Georgia
Crawford,2022-04-01,4227,US,Wisconsin
Marion,2021-02-05,2962,US,South Carolina
Asotin,2022-02-25,4302,US,Washington
Fairfield,2020-04-21,25,US,South Carolina
Wayne,2022-02-23,5228,US,Illinois
Roosevelt,2020-06-20,53,US,New Mexico
Douglas,2021-08-06,2681,US,Illinois
Big Stone,2020-08-28,32,US,Minnesota
Grimes,2021-06-12,4431,US,Texas
Humboldt,2022-01-14,2329,US,Iowa
Blount,2021-08-16,7833,US,Alabama
Rutherford,2022-02-28,95214,US,Tennessee
Sumner,2022-03-21,5662,US,Kansas
Wise,2020-01-31,0,US,Texas
Shelby,2020-09-24,1044,US,Kentucky
Big Stone,2022-04-12,1383,US,Minnesota
Borden,2021-02-23,38,US,Texas
Mora,2020-05-13,0,US,New Mexico
Burlington,2020-01-23,0,US,New Jersey
Tuscola,2020-06-25,229,US,Michigan
Fayette,2021-10-08,16595,US,Pennsylvania
Dearborn,2021-04-10,5646,US,Indiana
Kingsbury,2022-02-19,1297,US,South Dakota
Beckham,2020-05-06,6,US,Oklahoma
Spokane,2020-05-16,396,US,Washington
Ellis,2021-08-16,24714,US,Texas
Texas,2021-04-07,1828,US,Missouri
Lawrence,2021-03-01,2047,US,Arkansas
Cleveland,2020-06-10,529,US,Oklahoma
Wayne,2020-12-18,1199,US,Illinois
Concordia,2020-04-07,11,US,Louisiana
Republic,2022-01-14,1129,US,Kansas
Clatsop,2020-05-27,45,US,Oregon
Yauco,2020-08-28,131,US,Puerto Rico
Ross,2020-08-11,494,US,Ohio
Llano,2022-02-26,3839,US,Texas
Haralson,2020-08-31,332,US,Georgia
Montgomery,2021-12-09,34140,US,Tennessee
Goochland,2021-03-25,1291,US,Virginia
Lake,2020-08-25,304,US,California
Accomack,2020-09-23,1169,US,Virginia
Grant,2021-03-12,1553,US,New Mexico
Meigs,2020-05-06,15,US,Tennessee
Orange,2020-06-24,6056,US,Florida
Somervell,2021-12-12,1536,US,Texas
Cleveland,2021-08-13,12943,US,North Carolina
Houghton,2022-03-16,7742,US,Michigan
Yazoo,2020-03-28,4,US,Mississippi
Kleberg,2021-04-02,2717,US,Texas
Isabella,2020-03-26,3,US,Michigan
Cabarrus,2021-05-21,22035,US,North Carolina
Pinellas,2021-10-28,135998,US,Florida
Sherburne,2020-10-28,1763,US,Minnesota
Jefferson,2020-05-10,6709,US,Louisiana
Christian,2021-09-24,12508,US,Missouri
Morgan,2020-06-27,13,US,Missouri
Chambers,2021-02-10,2747,US,Texas
Sabine,2021-02-07,2672,US,Louisiana
Cortland,2021-10-14,5220,US,New York
Sedgwick,2020-06-19,0,US,Colorado
Alleghany,2021-09-18,1788,US,Virginia
Vance,2020-11-04,1265,US,North Carolina
Northampton,2020-02-01,0,US,Virginia
Wyoming,2022-01-27,7896,US,New York
Clay,2022-01-10,3189,US,Iowa
Richland,2022-03-15,5151,US,Illinois
Washington,2021-03-09,2638,US,Florida
Merrick,2020-03-11,0,US,Nebraska
Orange,2020-03-06,0,US,Vermont
Morgan,2021-05-17,1711,US,Missouri
Beckham,2020-02-12,0,US,Oklahoma
Scott,2020-10-28,392,US,Virginia
Walworth,2021-09-17,14084,US,Wisconsin
Harris,2020-03-07,0,US,Georgia
Horry,2020-11-15,13625,US,South Carolina
Wirt,2020-02-01,0,US,West Virginia
Poquoson,2020-02-08,0,US,Virginia
Maricao,2021-01-03,53,US,Puerto Rico
Butler,2020-06-10,51,US,Missouri
Madison,2020-10-02,933,US,Idaho
Otoe,2021-07-02,1473,US,Nebraska
Henderson,2021-08-20,4225,US,Tennessee
Blackford,2020-06-17,31,US,Indiana
Dent,2021-11-14,1989,US,Missouri
Marquette,2020-09-07,110,US,Wisconsin
Caldwell,2021-03-01,5659,US,Texas
Jackson,2021-05-16,1316,US,Kentucky
Caswell,2021-09-27,2961,US,North Carolina
Missoula,2021-06-02,9224,US,Montana
Tarrant,2020-08-29,39531,US,Texas
Gregg,2021-03-28,8985,US,Texas
Laclede,2020-06-10,7,US,Missouri
Gordon,2021-08-02,8497,US,Georgia
Bucks,2020-09-18,8307,US,Pennsylvania
Madison,2022-04-16,9681,US,Nebraska
Tehama,2021-06-25,5716,US,California
Gadsden,2020-06-04,288,US,Florida
Dixon,2021-12-08,857,US,Nebraska
Portage,2022-03-10,33956,US,Ohio
Unassigned,2021-12-12,0,US,Maryland
Randolph,2021-05-13,2130,US,Arkansas
Kershaw,2021-06-24,7545,US,South Carolina
Lincoln,2020-11-09,2355,US,Arkansas
Plaquemines,2020-04-28,168,US,Louisiana
Bonneville,2021-06-02,14991,US,Idaho
Cochran,2020-01-28,0,US,Texas
Palo Alto,2020-04-11,0,US,Iowa
Miami,2020-09-25,1428,US,Ohio
Houston,2021-10-13,17232,US,Alabama
Prince George's,2021-07-29,86572,US,Maryland
Washington,2021-08-29,2249,US,Alabama
Crawford,2020-03-29,0,US,Georgia
Hendricks,2021-03-22,16195,US,Indiana
Mississippi,2021-03-05,1275,US,Missouri
Pointe Coupee,2020-02-18,0,US,Louisiana
Elliott,2021-07-01,987,US,Kentucky
Hampton,2020-07-12,488,US,Virginia
Buchanan,2020-05-21,18,US,Virginia
Lyon,2020-03-18,1,US,Kentucky
Hawkins,2021-12-10,11057,US,Tennessee
Cherokee,2020-08-26,131,US,Iowa
Childress,2022-01-16,2166,US,Texas
Sheridan,2020-11-27,268,US,Montana
Dauphin,2020-03-20,0,US,Pennsylvania
Toa Alta,2021-12-16,5023,US,Puerto Rico
Clayton,2020-01-23,0,US,Georgia
Richardson,2020-11-05,159,US,Nebraska
Harnett,2021-05-22,11748,US,North Carolina
Garfield,2020-10-30,25,US,Montana
Franklin,2020-06-29,72,US,Virginia
Mercer,2020-06-25,30,US,West Virginia
Rapides,2022-02-16,30630,US,Louisiana
Gibson,2022-03-02,17256,US,Tennessee
Kingman,2022-01-24,1836,US,Kansas
Shannon,2021-07-06,625,US,Missouri
Macon,2021-03-17,804,US,Georgia
Washtenaw,2021-09-09,28946,US,Michigan
Skamania,2020-11-25,101,US,Washington
Sierra,2020-10-30,6,US,California
Texas,2021-08-20,3625,US,Oklahoma
Lander,2020-06-19,26,US,Nevada
Wythe,2020-05-26,21,US,Virginia
Montrose,2020-08-21,329,US,Colorado
DeKalb,2022-04-01,148660,US,Georgia
Hutchinson,2020-04-26,3,US,South Dakota
Cole,2020-02-23,0,US,Missouri
Kingman,2020-03-20,0,US,Kansas
Warrick,2020-04-11,34,US,Indiana
Madison,2021-04-22,1553,US,Iowa
Juncos,2021-11-07,2721,US,Puerto Rico
Jones,2021-01-30,581,US,North Carolina
Canovanas,2021-05-09,1885,US,Puerto Rico
Dawson,2022-02-22,5027,US,Nebraska
Unassigned,2021-12-27,16456,US,Texas
San Francisco,2021-04-25,37579,US,California
Shelby,2021-10-08,6231,US,Ohio
Franklin,2021-03-11,2562,US,Georgia
Washakie,2022-02-15,2289,US,Wyoming
Cabo Rojo,2020-02-17,0,US,Puerto Rico
Johnston,2021-09-24,1836,US,Oklahoma
Fremont,2020-10-13,946,US,Wyoming
Gregory,2020-08-13,7,US,South Dakota
Roane,2020-03-26,1,US,Tennessee
Kemper,2022-02-25,2158,US,Mississippi
Isanti,2021-03-04,3076,US,Minnesota
Berkeley,2021-07-24,18441,US,South Carolina
Fulton,2021-03-12,3480,US,New York
Eagle,2021-03-09,5289,US,Colorado
Chase,2021-03-06,448,US,Nebraska
Dooly,2021-01-11,756,US,Georgia
Griggs,2021-09-02,334,US,North Dakota
Lee,2021-03-04,1195,US,Kentucky
Georgetown,2021-12-13,10031,US,South Carolina
Troup,2020-08-13,2354,US,Georgia
Lake,2021-01-28,1793,US,Montana
Gwinnett,2021-06-14,103006,US,Georgia
Overton,2020-02-02,0,US,Tennessee
Mills,2021-07-12,1637,US,Iowa
Wayne,2021-02-18,100033,US,Michigan
Ionia,2020-07-17,231,US,Michigan
Hutchinson,2020-10-15,174,US,South Dakota
Canovanas,2022-03-24,5884,US,Puerto Rico
Union,2020-08-07,76,US,Iowa
Rosebud,2020-10-15,711,US,Montana
Currituck,2020-05-09,9,US,North Carolina
Levy,2022-01-03,7289,US,Florida
Bastrop,2021-03-28,9376,US,Texas
