Admin2,Date,Case,Country/Region,Province/State
Deuel,2021-07-23,107,US,Nebraska
Granville,2021-04-17,5711,US,North Carolina
Grundy,2021-12-12,2961,US,Tennessee
Unassigned,2021-08-23,3718,US,Georgia
McDowell,2022-04-08,5607,US,West Virginia
Cass,2022-03-02,6780,US,Minnesota
Musselshell,2020-09-04,16,US,Montana
Cass,2021-06-10,1949,US,Texas
Lyon,2021-03-26,1496,US,Iowa
St. Landry,2022-02-08,20565,US,Louisiana
Dare,2020-12-28,973,US,North Carolina
Hays,2021-11-15,33892,US,Texas
Victoria,2020-07-04,983,US,Texas
Contra Costa,2021-05-21,70237,US,California
Dubuque,2020-01-26,0,US,Iowa
Somerset,2020-08-16,37,US,Maine
Sacramento,2020-09-09,19494,US,California
Pontotoc,2021-07-08,5196,US,Oklahoma
Adams,2021-12-11,14987,US,Illinois
Pamlico,2022-01-02,1823,US,North Carolina
Monroe,2020-02-27,0,US,Michigan
Cherokee,2020-05-27,29,US,Oklahoma
Mobile,2021-07-09,42951,US,Alabama
Woods,2020-05-13,3,US,Oklahoma
Fayette,2021-09-09,2593,US,Alabama
Amite,2020-07-17,131,US,Mississippi
Calhoun,2021-04-22,2320,US,Texas
Lawrence,2021-01-15,2692,US,South Dakota
Humphreys,2021-04-29,1822,US,Tennessee
Randolph,2021-07-02,2715,US,Missouri
Acadia,2020-03-03,0,US,Louisiana
DeKalb,2020-05-04,22,US,Indiana
Dunn,2022-03-26,13248,US,Wisconsin
San Juan,2020-11-13,4330,US,New Mexico
Yates,2021-11-30,1985,US,New York
Daviess,2020-02-24,0,US,Indiana
Pottawatomie,2022-03-22,5728,US,Kansas
Renville,2020-04-13,3,US,Minnesota
Perry,2021-08-17,2072,US,Indiana
Choctaw,2020-12-08,395,US,Mississippi
Red River,2020-07-21,130,US,Louisiana
Ogle,2021-01-04,4220,US,Illinois
Barranquitas,2021-09-04,1393,US,Puerto Rico
Marion,2020-02-23,0,US,Florida
Ellsworth,2021-06-27,1224,US,Kansas
Towns,2021-01-01,813,US,Georgia
Pulaski,2020-07-16,134,US,Kentucky
Quitman,2021-12-04,257,US,Georgia
Colorado,2021-10-03,2497,US,Texas
Clark,2020-05-28,31,US,Kansas
Butte,2020-02-29,0,US,California
Hardeman,2021-10-04,5010,US,Tennessee
Meade,2021-10-31,3464,US,Kentucky
Lincoln,2020-10-14,1976,US,South Dakota
Page,2021-06-12,1945,US,Iowa
Erie,2020-04-02,5,US,Ohio
Washington,2021-04-22,1212,US,Idaho
Hunterdon,2022-01-29,23299,US,New Jersey
Kidder,2020-01-22,0,US,North Dakota
Twiggs,2020-01-25,0,US,Georgia
Gibson,2021-05-27,4415,US,Indiana
Keweenaw,2021-06-24,174,US,Michigan
Talbot,2020-08-03,368,US,Maryland
Cherokee,2022-01-07,4271,US,Kansas
Cabell,2022-02-14,26396,US,West Virginia
Delta,2021-02-18,2430,US,Colorado
Atascosa,2021-12-10,9051,US,Texas
Pike,2021-02-02,1642,US,Illinois
Hodgeman,2020-02-11,0,US,Kansas
Washita,2021-10-23,1483,US,Oklahoma
Ogle,2021-06-02,6179,US,Illinois
McDonald,2021-06-16,2537,US,Missouri
Williamson,2022-01-13,16730,US,Illinois
Rio Blanco,2020-08-08,16,US,Colorado
Escambia,2020-08-08,1177,US,Alabama
Wood,2021-08-20,3550,US,Texas
Washington,2021-06-29,5327,US,Ohio
Baltimore,2021-10-20,75906,US,Maryland
Pulaski,2020-08-02,71,US,Indiana
San Miguel,2021-08-31,1037,US,Colorado
Keweenaw,2022-02-19,501,US,Michigan
Inyo,2020-12-26,561,US,California
Trempealeau,2021-11-18,5344,US,Wisconsin
Philadelphia,2020-02-18,0,US,Pennsylvania
Lawrence,2021-04-12,2075,US,Arkansas
Columbiana,2020-11-30,3902,US,Ohio
Red River,2022-02-22,2212,US,Texas
Orange,2021-09-07,52862,US,New York
Wexford,2021-06-18,2895,US,Michigan
Douglas,2021-03-03,21552,US,Colorado
Johnson,2022-03-27,42710,US,Texas
Bonner,2021-05-13,3248,US,Idaho
Iron,2020-09-23,137,US,Wisconsin
Bucks,2021-05-19,60198,US,Pennsylvania
Maverick,2021-10-23,11881,US,Texas
Hale,2020-07-06,323,US,Alabama
Bond,2021-03-02,1912,US,Illinois
Putnam,2020-09-06,1856,US,Florida
Major,2020-05-16,6,US,Oklahoma
Conecuh,2020-10-05,537,US,Alabama
Ogemaw,2020-03-10,0,US,Michigan
Boulder,2020-04-14,293,US,Colorado
Johnson,2020-09-07,787,US,Arkansas
Carson City,2021-08-26,7301,US,Nevada
Washington,2020-11-23,1873,US,Oklahoma
York,2021-10-12,2282,US,Nebraska
Nez Perce,2020-10-03,469,US,Idaho
Custer,2021-10-03,1217,US,South Dakota
Travis,2020-03-13,2,US,Texas
Quitman,2021-08-25,938,US,Mississippi
Murray,2021-06-03,2024,US,Oklahoma
Marengo,2020-07-16,377,US,Alabama
Ouray,2022-04-10,859,US,Colorado
Mercer,2020-09-12,162,US,Kentucky
Dawson,2021-07-27,2888,US,Nebraska
San Juan,2021-03-04,43,US,Colorado
New York,2021-05-20,137171,US,New York
Hardin,2020-11-07,1487,US,Tennessee
Scotland,2021-04-18,305,US,Missouri
Taylor,2021-09-01,1549,US,West Virginia
Juncos,2022-02-13,5632,US,Puerto Rico
Lajas,2021-03-02,251,US,Puerto Rico
Renville,2021-01-27,296,US,North Dakota
Harney,2021-07-05,439,US,Oregon
Calhoun,2020-12-02,6202,US,Michigan
Moffat,2020-06-23,9,US,Colorado
Teller,2020-03-13,0,US,Colorado
Rogers,2020-09-05,1403,US,Oklahoma
Cass,2021-11-30,7974,US,Michigan
Conecuh,2020-05-09,13,US,Alabama
Oceana,2020-04-05,3,US,Michigan
Moca,2021-07-01,1403,US,Puerto Rico
Dane,2020-09-06,6118,US,Wisconsin
Douglas,2021-07-08,5010,US,Wisconsin
Culberson,2021-09-28,356,US,Texas
Juana Diaz,2021-03-20,887,US,Puerto Rico
Saline,2021-05-08,11930,US,Arkansas
Juab,2021-02-27,0,US,Utah
Carbon,2020-12-28,0,US,Utah
Stanislaus,2020-06-04,811,US,California
McClain,2022-01-12,8768,US,Oklahoma
Jackson,2021-09-15,9461,US,Florida
Henry,2021-04-01,5517,US,Indiana
Litchfield,2020-05-29,1375,US,Connecticut
Nelson,2020-12-19,2646,US,Kentucky
Caldwell,2021-10-20,13121,US,North Carolina
Bernalillo,2022-03-23,146250,US,New Mexico
Bosque,2020-06-27,11,US,Texas
Watonwan,2020-07-20,279,US,Minnesota
Montgomery,2020-07-09,11,US,Iowa
Unassigned,2020-06-23,1482,US,Georgia
Pemiscot,2020-01-27,0,US,Missouri
Rockingham,2021-05-23,7719,US,North Carolina
Carroll,2020-08-21,2175,US,Georgia
Eaton,2020-11-28,3076,US,Michigan
Merrick,2022-03-06,1699,US,Nebraska
McLean,2021-08-05,19118,US,Illinois
Pickaway,2021-01-06,6444,US,Ohio
Florence,2022-03-25,41676,US,South Carolina
Huron,2022-04-04,8007,US,Michigan
Iowa,2021-08-02,1491,US,Iowa
Westchester,2020-05-04,30097,US,New York
Bond,2020-01-29,0,US,Illinois
Brunswick,2021-08-29,12419,US,North Carolina
Kings,2020-11-03,8852,US,California
Tioga,2021-04-27,3527,US,New York
Berrien,2021-03-11,1763,US,Georgia
Unassigned,2022-03-10,0,US,Arizona
Modoc,2020-02-07,0,US,California
McDuffie,2022-02-09,4922,US,Georgia
Delaware,2020-07-25,1048,US,Ohio
Morton,2021-01-03,4621,US,North Dakota
Ellis,2020-08-20,6,US,Oklahoma
Sonoma,2020-09-16,6750,US,California
Camden,2021-02-25,43731,US,New Jersey
Des Moines,2020-07-19,116,US,Iowa
Wilkinson,2021-08-09,816,US,Mississippi
Bethel,2020-02-03,0,US,Alaska
Wyoming,2021-07-31,2106,US,West Virginia
Out of PA,2021-08-26,0,US,Pennsylvania
Woodford,2021-10-24,5784,US,Illinois
Stark,2020-06-02,743,US,Ohio
Brookings,2021-08-23,4392,US,South Dakota
Dukes,2022-01-07,0,US,Massachusetts
Edwards,2021-04-13,263,US,Texas
Ashland,2022-03-22,11930,US,Ohio
Menominee,2021-04-13,1975,US,Michigan
Jackson,2022-01-22,3042,US,Texas
McLean,2020-07-21,16,US,North Dakota
Shelby,2021-07-28,1322,US,Iowa
Hartford,2022-03-09,175186,US,Connecticut
Marshall,2022-04-10,12318,US,Indiana
Koochiching,2021-07-03,958,US,Minnesota
Champaign,2021-07-02,3456,US,Ohio
Aguada,2020-11-01,239,US,Puerto Rico
Unassigned,2020-05-27,0,US,Oklahoma
Marion,2020-02-02,0,US,Kentucky
Beadle,2020-09-23,723,US,South Dakota
Butts,2021-03-05,2731,US,Georgia
Valley,2022-01-21,2035,US,Idaho
Louisa,2021-10-04,2936,US,Virginia
Franklin,2021-10-17,2705,US,Arkansas
Noble,2020-08-09,678,US,Indiana
Delta,2022-04-13,9925,US,Michigan
Morgan,2021-05-06,2510,US,Tennessee
King,2021-03-24,88465,US,Washington
Taylor,2021-07-20,1303,US,West Virginia
Essex,2020-03-05,0,US,New Jersey
Beauregard,2022-01-15,7117,US,Louisiana
Oneida,2021-03-08,19962,US,New York
San Joaquin,2020-03-22,33,US,California
Sullivan,2021-06-04,17218,US,Tennessee
Johnson,2020-07-19,485,US,Arkansas
Buchanan,2021-09-03,1872,US,Virginia
Essex,2020-07-15,5,US,Vermont
Anderson,2021-08-06,5943,US,Texas
Grainger,2021-09-24,4031,US,Tennessee
New Castle,2020-03-16,8,US,Delaware
Bedford,2021-02-27,5885,US,Tennessee
Appanoose,2021-02-04,1156,US,Iowa
Hillsborough,2020-02-16,0,US,New Hampshire
Florida,2021-12-04,704,US,Puerto Rico
Roscommon,2020-09-07,79,US,Michigan
Decatur,2022-02-02,6719,US,Indiana
Grady,2022-01-16,9967,US,Oklahoma
